projid,projecttitle,projectrdc,projectpi,authors,outputtitle,outputbiblio,outputyear,doi,abstract,source_file,projectstatus,projectyearstarted,projectyearended,outputtype,outputstatus,outputvenue,outputmonth,outputvolume,outputnumber,outputpages
,Evaluating the Impacts of Swapping on the US Decennial Census,Michigan,Felicia B Leclere,,Evaluating the Impacts of Swapping on the US Decennial Census,,2008.0,https://doi.org/10.1145/3709025.3712210,"To meet its dual burdens of providing useful statistics and ensuring privacy
of individual respondents, the US Census Bureau has for decades introduced some
form of ""noise"" into published statistics. Initially, they used a method known
as ""swapping"" (1990-2010). In 2020, they switched to an algorithm called
TopDown that ensures a form of Differential Privacy. While the TopDown
algorithm has been made public, no implementation of swapping has been released
and many details of the deployed swapping methodology deployed have been kept
secret. Further, the Bureau has not published (even a synthetic) ""original""
dataset and its swapped version. It is therefore difficult to evaluate the
effects of swapping, and to compare these effects to those of other privacy
technologies. To address these difficulties we describe and implement a
parameterized swapping algorithm based on Census publications, court documents,
and informal interviews with Census employees. With this implementation, we
characterize the impacts of swapping on a range of statistical quantities of
interest. We provide intuition for the types of shifts induced by swapping and
compare against those introduced by TopDown. We find that even when swapping
and TopDown introduce errors of similar magnitude, the direction in which
statistics are biased need not be the same across the two techniques. More
broadly, our implementation provides researchers with the tools to analyze and
potentially correct for the impacts of disclosure avoidance systems on the
quantities they study.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"Confidence-Ranked Reconstruction of Census Microdata from Published
  Statistics",Michigan,Felicia B Leclere,,"Confidence-Ranked Reconstruction of Census Microdata from Published
  Statistics",,2008.0,https://doi.org/10.1073/pnas.2218605120,"A reconstruction attack on a private dataset $D$ takes as input some publicly
accessible information about the dataset and produces a list of candidate
elements of $D$. We introduce a new class of data reconstruction attacks based
on randomized methods for non-convex optimization. We empirically demonstrate
that our attacks can not only reconstruct full rows of $D$ from aggregate query
statistics $Q(D)\in \mathbb{R}^m$, but can do so in a way that reliably ranks
reconstructed rows by their odds of appearing in the private data, providing a
signature that could be used for prioritizing reconstructed rows for further
actions such as identify theft or hate crime. We also design a sequence of
baselines for evaluating reconstruction attacks. Our attacks significantly
outperform those that are based only on access to a public distribution or
population from which the private dataset $D$ was sampled, demonstrating that
they are exploiting information in the aggregate statistics $Q(D)$, and not
simply the overall structure of the distribution. In other words, the queries
$Q(D)$ are permitting reconstruction of elements of this dataset, not the
distribution from which $D$ was drawn. These findings are established both on
2010 U.S. decennial Census data and queries and Census-derived American
Community Survey datasets. Taken together, our methods and experiments
illustrate the risks in releasing numerically precise aggregate statistics of a
large dataset, and provide further motivation for the careful application of
provably private techniques such as differential privacy.",group1.csv,Unknown,,,Unknown,Published,,,,,
,Fine-Grained Car Detection for Visual Census Estimation,Berkeley,Philippe . Wingender,,Fine-Grained Car Detection for Visual Census Estimation,,2014.0,https://doi.org/10.1609/aaai.v31i1.11174,"Targeted socioeconomic policies require an accurate understanding of a
country's demographic makeup. To that end, the United States spends more than 1
billion dollars a year gathering census data such as race, gender, education,
occupation and unemployment rates. Compared to the traditional method of
collecting surveys across many years which is costly and labor intensive,
data-driven, machine learning driven approaches are cheaper and faster--with
the potential ability to detect trends in close to real time. In this work, we
leverage the ubiquity of Google Street View images and develop a computer
vision pipeline to predict income, per capita carbon emission, crime rates and
other city attributes from a single source of publicly available visual data.
We first detect cars in 50 million images across 200 of the largest US cities
and train a model to predict demographic attributes using the detected cars. To
facilitate our work, we have collected the largest and most challenging
fine-grained dataset reported to date consisting of over 2600 classes of cars
comprised of images from Google Street View and other web sources, classified
by car experts to account for even the most subtle of visual differences. We
use this data to construct the largest scale fine-grained detection system
reported to date. Our prediction results correlate well with ground truth
income data (r=0.82), Massachusetts department of vehicle registration, and
sources investigating crime rates, income segregation, per capita carbon
emission, and other market research. Finally, we learn interesting
relationships between cars and neighborhoods allowing us to perform the first
large scale sociological analysis of cities using computer vision techniques.",group1.csv,Unknown,,,Unknown,Published,,,,,
,Synthetic Census Data Generation via Multidimensional Multiset Sum,Atlanta,Nicholas Nagle,,Synthetic Census Data Generation via Multidimensional Multiset Sum,,2017.0,https://doi.org/10.48550/arxiv.2404.10095,"The US Decennial Census provides valuable data for both research and policy
purposes. Census data are subject to a variety of disclosure avoidance
techniques prior to release in order to preserve respondent confidentiality.
While many are interested in studying the impacts of disclosure avoidance
methods on downstream analyses, particularly with the introduction of
differential privacy in the 2020 Decennial Census, these efforts are limited by
a critical lack of data: The underlying ""microdata,"" which serve as necessary
input to disclosure avoidance methods, are kept confidential.
  In this work, we aim to address this limitation by providing tools to
generate synthetic microdata solely from published Census statistics, which can
then be used as input to any number of disclosure avoidance algorithms for the
sake of evaluation and carrying out comparisons. We define a principled
distribution over microdata given published Census statistics and design
algorithms to sample from this distribution. We formulate synthetic data
generation in this context as a knapsack-style combinatorial optimization
problem and develop novel algorithms for this setting. While the problem we
study is provably hard, we show empirically that our methods work well in
practice, and we offer theoretical arguments to explain our performance.
Finally, we verify that the data we produce are ""close"" to the desired ground
truth.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"The 2010 Census Confidentiality Protections Failed, Here's How and Why",Atlanta,Nicholas Nagle,,"The 2010 Census Confidentiality Protections Failed, Here's How and Why",,2017.0,https://doi.org/10.3386/w31995,"Using only 34 published tables, we reconstruct five variables (census block,
sex, age, race, and ethnicity) in the confidential 2010 Census person records.
Using the 38-bin age variable tabulated at the census block level, at most
20.1% of reconstructed records can differ from their confidential source on
even a single value for these five variables. Using only published data, an
attacker can verify that all records in 70% of all census blocks (97 million
people) are perfectly reconstructed. The tabular publications in Summary File 1
thus have prohibited disclosure risk similar to the unreleased confidential
microdata. Reidentification studies confirm that an attacker can, within blocks
with perfect reconstruction accuracy, correctly infer the actual census
response on race and ethnicity for 3.4 million vulnerable population uniques
(persons with nonmodal characteristics) with 95% accuracy, the same precision
as the confidential data achieve and far greater than statistical baselines.
The flaw in the 2010 Census framework was the assumption that aggregation
prevented accurate microdata reconstruction, justifying weaker disclosure
limitation methods than were applied to 2010 Census public microdata. The
framework used for 2020 Census publications defends against attacks that are
based on reconstruction, as we also demonstrate here. Finally, we show that
alternatives to the 2020 Census Disclosure Avoidance System with similar
accuracy (enhanced swapping) also fail to protect confidentiality, and those
that partially defend against reconstruction attacks (incomplete suppression
implementations) destroy the primary statutory use case: data for redistricting
all legislatures in the country in compliance with the 1965 Voting Rights Act.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"An Approximate Monte Carlo Simulation Method for Estimating Uncertainty
  and Constructing Confidence Intervals for 2020 Census Statistics",Atlanta,Nicholas Nagle,,"An Approximate Monte Carlo Simulation Method for Estimating Uncertainty
  and Constructing Confidence Intervals for 2020 Census Statistics",,2017.0,https://doi.org/10.1038/s41597-020-0393-y,"To protect the confidentiality of the 2020 Census, the U.S. Census Bureau
adopted a statistical disclosure limitation framework based on the principles
of differential privacy. A key component was the TopDown Algorithm, which
applied differentially-private noise to an extensive series of counts from the
confidential 2020 Census data and transformed the resulting noisy measurements
into privacy-protected microdata which were then tabulated to produce official
data products. Though the codebase is publicly available, currently there is no
way to estimate the uncertainty for statistics included in the published data
products that accounts for both the noisy measurements and the post-processing
performed within the TopDown Algorithm. We propose an approximate Monte Carlo
Simulation method that allows for the estimation of statistical quantities like
mean squared error, bias, and variance, as well as the construction of
confidence intervals. The method uses the output of the production iteration of
the TopDown Algorithm as the input to additional iterations, allowing for
statistical quantities to be estimated without impacting the formal privacy
protections of the 2020 Census. The results show that, in general, the
quantities estimated by this approximate method closely match their intended
targets and that the resulting confidence intervals are statistically valid.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"The Quality of the 2020 Census: An Independent Assessment of Census
  Bureau Activities Critical to Data Quality",Michigan,Merle Ederhof,,"The Quality of the 2020 Census: An Independent Assessment of Census
  Bureau Activities Critical to Data Quality",,2019.0,https://doi.org/10.48550/arxiv.2110.02135,"This report summarizes major findings from an independent evaluation of 2020
census operations. The American Statistical Association 2020 Census Quality
Indicators Task Force selected the authors to conduct the evaluation using
nonpublic operations data provided by the Census Bureau.
  The evaluation focused on the quality of state-level population counts
released by the Census Bureau for congressional apportionment. The authors
first partitioned the census enumeration process into five operation phases.
Within each phase, one or more activities considered to be critical to census
data quality were identified. Operational data from each activity were then
analyzed to assess the risk of error, particularly as they related to similar
activities in the 2010 census.
  Overall, the evaluation found that census operations relied on higher risk
activities at a higher rate in 2020 than in 2010, suggesting that the risk of
error may be higher in 2020 than in 2010. However, the available data were
insufficient to determine whether the apportionment counts are of lower quality
in 2020 than in 2010.",group1.csv,Unknown,,,Unknown,Published,,,,,
,An efficient counting method for the colored triad census,Michigan,Merle Ederhof,,An efficient counting method for the colored triad census,,2019.0,https://doi.org/10.1016/j.socnet.2019.04.003,"The triad census is an important approach to understand local structure in
network science, providing comprehensive assessments of the observed relational
configurations between triples of actors in a network. However, researchers are
often interested in combinations of relational and categorical nodal
attributes. In this case, it is desirable to account for the label, or color,
of the nodes in the triad census. In this paper, we describe an efficient
algorithm for constructing the colored triad census, based, in part, on
existing methods for the classic triad census. We evaluate the performance of
the algorithm using empirical and simulated data for both undirected and
directed graphs. The results of the simulation demonstrate that the proposed
algorithm reduces computational time many-fold over the naive approach. We also
apply the colored triad census to the Zachary karate club network dataset. We
simultaneously show the efficiency of the algorithm, and a way to conduct a
statistical test on the census by forming a null distribution from 1,000
realizations of a mixing-matrix conditioned graph and comparing the observed
colored triad counts to the expected. From this, we demonstrate the method's
utility in our discussion of results about homophily, heterophily, and
bridging, simultaneously gained via the colored triad census. In sum, the
proposed algorithm for the colored triad census brings novel utility to social
network analysis in an efficient package.",group1.csv,Unknown,,,Unknown,Published,,,,,
,Can ChatGPT evaluate research quality?,CensusHQ,Andreana Able,,Can ChatGPT evaluate research quality?,,2018.0,https://doi.org/10.2478/jdis-2024-0013,"Purpose: Assess whether ChatGPT 4.0 is accurate enough to perform research
evaluations on journal articles to automate this time-consuming task.
Design/methodology/approach: Test the extent to which ChatGPT-4 can assess the
quality of journal articles using a case study of the published scoring
guidelines of the UK Research Excellence Framework (REF) 2021 to create a
research evaluation ChatGPT. This was applied to 51 of my own articles and
compared against my own quality judgements. Findings: ChatGPT-4 can produce
plausible document summaries and quality evaluation rationales that match the
REF criteria. Its overall scores have weak correlations with my self-evaluation
scores of the same documents (averaging r=0.281 over 15 iterations, with 8
being statistically significantly different from 0). In contrast, the average
scores from the 15 iterations produced a statistically significant positive
correlation of 0.509. Thus, averaging scores from multiple ChatGPT-4 rounds
seems more effective than individual scores. The positive correlation may be
due to ChatGPT being able to extract the author's significance, rigour, and
originality claims from inside each paper. If my weakest articles are removed,
then the correlation with average scores (r=0.200) falls below statistical
significance, suggesting that ChatGPT struggles to make fine-grained
evaluations. Research limitations: The data is self-evaluations of a
convenience sample of articles from one academic in one field. Practical
implications: Overall, ChatGPT does not yet seem to be accurate enough to be
trusted for any formal or informal research quality evaluation tasks. Research
evaluators, including journal editors, should therefore take steps to control
its use. Originality/value: This is the first published attempt at
post-publication expert review accuracy testing for ChatGPT.",group1.csv,Unknown,,,Unknown,Published,,,,,
,Rate-Memory Trade-Off for Caching and Delivery of Correlated Sources,CensusHQ,Andreana Able,,Rate-Memory Trade-Off for Caching and Delivery of Correlated Sources,,2018.0,https://doi.org/10.1109/tit.2020.2969918,"This paper studies the fundamental limits of content delivery in a
cache-aided broadcast network for correlated content generated by a discrete
memoryless source with arbitrary joint distribution. Each receiver is equipped
with a cache of equal capacity, and the requested files are delivered over a
shared error-free broadcast link. A class of achievable correlation-aware
schemes based on a two-step source coding approach is proposed. Library files
are first compressed, and then cached and delivered using a combination of
correlation-unaware multiple-request cache-aided coded multicast schemes. The
first step uses Gray-Wyner source coding to represent the library via private
descriptions and descriptions that are common to more than one file. The second
step then becomes a multiple-request caching problem, where the demand
structure is dictated by the configuration of the compressed library, and it is
interesting in its own right. The performance of the proposed two-step scheme
is evaluated by comparing its achievable rate with a lower bound on the optimal
peak and average rate-memory tradeoffs in a two-file multiple-receiver network,
and in a three-file two-receiver network. Specifically, in a network with two
files and two receivers, the achievable rate matches the lower bound for a
significant memory regime and it is within half of the conditional entropy of
files for all other memory values. In the three-file two-receiver network, the
two-step strategy achieves the lower bound for large cache capacities, and it
is within half of the joint entropy of two of the sources conditioned on the
third one for all other cache sizes.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"Small domain estimation of census coverage: A case study in Bayesian
  analysis of complex survey data",Minnesota,Jonathan Schroeder,,"Small domain estimation of census coverage: A case study in Bayesian
  analysis of complex survey data",,,https://doi.org/10.2478/jos-2022-0034,"Many countries conduct a full census survey to report official population
statistics. As no census survey ever achieves 100 per cent response rate, a
post-enumeration survey (PES) is usually conducted and analysed to assess
census coverage and produce official population estimates by geographic area
and demographic attributes. Considering the usually small size of PES, direct
estimation at the desired level of disaggregation is not feasible. Design-based
estimation with sampling weight adjustment is a commonly used method but is
difficult to implement when survey non-response patterns cannot be fully
documented and population benchmarks are not available. We overcome these
limitations with a fully model-based Bayesian approach applied to the New
Zealand PES. Although theory for the Bayesian treatment of complex surveys has
been described, published applications of individual level Bayesian models for
complex survey data remain scarce. We provide such an application through a
case study of the 2018 census and PES surveys. We implement a multilevel model
that accounts for the complex design of PES. We then illustrate how mixed
posterior predictive checking and cross-validation can assist with model
building and model selection. Finally, we discuss potential methodological
improvements to the model and potential solutions to mitigate dependence
between the two surveys.",group1.csv,Unknown,,,Unknown,Published,,,,,
,Estimating Local Daytime Population Density from Census and Payroll Data,Minnesota,Jonathan Schroeder,,Estimating Local Daytime Population Density from Census and Payroll Data,,,https://doi.org/10.1080/21681376.2018.1455535,"Daytime population density reflects where people commute and spend their
waking hours. It carries significant weight as urban planners and engineers
site transportation infrastructure and utilities, plan for disaster recovery,
and assess urban vitality. Various methods with various drawbacks exist to
estimate daytime population density across a metropolitan area, such as using
census data, travel diaries, GPS traces, or publicly available payroll data.
This study estimates the San Francisco Bay Area's tract-level daytime
population density from US Census and LEHD LODES data. Estimated daytime
densities are substantially more concentrated than corresponding nighttime
population densities, reflecting regional land use patterns. We conclude with a
discussion of biases, limitations, and implications of this methodology.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"Twitter and Census Data Analytics to Explore Socioeconomic Factors for
  Post-COVID-19 Reopening Sentiment",Irvine,Sabrina Nasir,,"Twitter and Census Data Analytics to Explore Socioeconomic Factors for
  Post-COVID-19 Reopening Sentiment",,2024.0,https://doi.org/10.2139/ssrn.3639551,"Investigating and classifying sentiments of social media users towards an
item, situation, and system are very popular among the researchers. However,
they rarely discuss the underlying socioeconomic factor associations for such
sentiments. This study attempts to explore the factors associated with positive
and negative sentiments of the people about reopening the economy, in the
United States (US) amidst the COVID-19 global crisis. It takes into
consideration the situational uncertainties (i.e., changes in work and travel
pattern due to lockdown policies), economic downturn and associated trauma, and
emotional factors such as depression. To understand the sentiment of the people
about the reopening economy, Twitter data was collected, representing the 51
states including Washington DC of the US. State-wide socioeconomic
characteristics of the people, built environment data, and the number of
COVID-19 related cases were collected and integrated with Twitter data to
perform the analysis. A binary logit model was used to identify the factors
that influence people toward a positive or negative sentiment. The results from
the logit model demonstrate that family households, people with low education
levels, people in the labor force, low-income people, and people with higher
house rent are more interested in reopening the economy. In contrast,
households with a high number of members and high income are less interested to
reopen the economy. The model can correctly classify 56.18% of the sentiments.
The Pearson chi2 test indicates that overall this model has high
goodness-of-fit. This study provides a clear indication to the policymakers
where to allocate resources and what policy options they can undertake to
improve the socioeconomic situations of the people and mitigate the impacts of
pandemics in the current situation and as well as in the future.",group1.csv,Unknown,,,Unknown,Published,,,,,
,Brighter Prospects? Assessing the Franchise Advantage using Census Data,Michigan,,,Brighter Prospects? Assessing the Franchise Advantage using Census Data,,2019.0,https://doi.org/10.1111/jems.12289,,group1.csv,Unknown,,,Unknown,Published,,,,,
,"Business, Owner, and Regional Characteristics in Latino-owned Business Growth: An Empirical Analysis Using Confidential Census Microdata",Texas,,,"Business, Owner, and Regional Characteristics in Latino-owned Business Growth: An Empirical Analysis Using Confidential Census Microdata",,2020.0,https://doi.org/10.1177/0160017619826278,,group1.csv,Unknown,,,Unknown,Published,,,,,
,Cleaning the Census of Retail Trade Product Lines Data,Boston,,,Cleaning the Census of Retail Trade Product Lines Data,,2022.0,https://doi.org/10.3982/ecta10927,,group1.csv,Unknown,,,Unknown,Published,,,,,
,"Differences Between Latino-Owned Businesses and White-, Black-, or Asian-Owned Businesses: Evidence from Census Microdata",Texas,,,"Differences Between Latino-Owned Businesses and White-, Black-, or Asian-Owned Businesses: Evidence from Census Microdata",,2018.0,https://doi.org/10.1177/0891242418785466,,group1.csv,Unknown,,,Unknown,Published,,,,,
,Does Offshoring Increase Innovation? New Evidence from U.S. Census Microdata,Philadelphia,,,Does Offshoring Increase Innovation? New Evidence from U.S. Census Microdata,,2024.0,https://doi.org/10.1257/aer.103.5.1553,,group1.csv,Unknown,,,Unknown,Published,,,,,
